date,tec,gdlat,glon
2017-09-10 15:00:00,6.110955,69.744629,10.117043
2017-09-10 15:00:00,7.726098,63.942039,7.419751
2017-09-10 15:00:00,7.369107,65.315582,8.295108
2017-09-10 15:00:00,7.39859,66.482841,4.927051
2017-09-10 15:00:00,7.649577,61.820187,13.569603
2017-09-10 15:00:00,8.465024,57.670429,15.625665
2017-09-10 15:00:00,7.711203,61.82814,12.425876
2017-09-10 15:00:00,8.470901,58.739086,31.143023
2017-09-10 15:00:00,7.675378,61.410786,15.663975
2017-09-10 15:00:00,7.632799,61.379333,13.375614
2017-09-10 15:00:00,7.651717,61.32737,11.302995
2017-09-10 15:00:00,6.877414,66.761513,36.603207
2017-09-10 15:00:00,7.515528,63.160275,18.664198
2017-09-10 15:00:00,7.909502,66.519897,25.654722
2017-09-10 15:00:00,8.076212,59.553673,15.656227
2017-09-10 15:00:00,6.04124,73.627838,27.054926
2017-09-10 15:00:00,7.815135,62.962624,21.156166
2017-09-10 15:00:00,7.005713,69.714363,11.660131
2017-09-10 15:00:00,7.506507,63.905003,8.619201
2017-09-10 15:00:00,7.221814,65.28315,9.563925
2017-09-10 15:00:00,7.171052,66.509506,6.158502
2017-09-10 15:00:00,7.61354,61.718575,14.74028
2017-09-10 15:00:00,8.515899,57.572105,16.636326
2017-09-10 15:00:00,7.635526,61.7337,13.592377
2017-09-10 15:00:00,8.513911,58.599957,31.803907
2017-09-10 15:00:00,7.190326,63.035759,20.459513
2017-09-10 15:00:00,6.972601,63.065571,17.963594
2017-09-10 15:00:00,7.144351,63.068218,15.648211
2017-09-10 15:00:00,6.566059,67.326393,40.585361
2017-09-10 15:00:00,7.060795,64.673172,23.86039
2017-09-10 15:00:00,6.483078,67.509453,31.026608
2017-09-10 15:00:00,7.512009,61.099438,20.131409
2017-09-10 15:00:00,5.78765,73.775009,33.78548
2017-09-10 15:00:00,7.269476,64.388039,26.315657
2017-09-10 15:00:00,4.846982,71.134705,18.132795
2017-09-10 15:00:00,6.669597,65.806793,13.183979
2017-09-10 15:00:00,6.771892,67.121536,14.624573
2017-09-10 15:00:00,6.342672,68.446884,11.185584
2017-09-10 15:00:00,7.162644,63.380566,19.527641
2017-09-10 15:00:00,8.01895,58.963039,20.878775
2017-09-10 15:00:00,7.086795,63.426266,18.272648
2017-09-10 15:00:00,8.18305,59.923214,35.891212
2017-09-10 15:00:00,8.131402,58.757587,12.889304
2017-09-10 15:00:00,8.102175,58.700325,10.835003
2017-09-10 15:00:00,9.889342,51.049896,-1.953009
2017-09-10 15:00:00,8.027087,58.627419,9.012124
